House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
95,Railwaycharm Street,Naomi,Taylor,60,Head,Divorced,Female,Careers adviser,None,None
95,Railwaycharm Street,Frederick,Taylor,29,Son,Single,Male,"Editor, film/video",None,None
95,Railwaycharm Street,Jemma,Taylor,26,Daughter,Widowed,Female,"Designer, ceramics/pottery",None,None
95,Railwaycharm Street,Keith,Taylor,24,Son,Single,Male,"Sound technician, broadcasting/film/video",None,None
96,Railwaycharm Street,Emma,Wells,35,Head,Married,Female,Sales promotion account executive,None,None
96,Railwaycharm Street,Samuel,Wells,37,Husband,Married,Male,Teaching laboratory technician,None,None
96,Railwaycharm Street,Aaron,Wells,7,Son,NA,Male,Student,None,NA
96,Railwaycharm Street,Leslie,Wells,4,Son,NA,Male,Child,None,NA
97,Railwaycharm Street,Alexandra,Lloyd,29,Head,Single,Female,Archaeologist,None,Christian
98,Railwaycharm Street,Deborah,Newman,45,Head,Widowed,Female,Unemployed,None,None
98,Railwaycharm Street,Sandra,Newman,8,Daughter,NA,Female,Student,None,NA
99,Railwaycharm Street,Alexandra,James,57,Head,Married,Female,Lawyer,None,Christian
99,Railwaycharm Street,Brandon,James,59,Husband,Married,Male,Building surveyor,None,None
99,Railwaycharm Street,Hilary,James,19,Daughter,Single,Female,University Student,None,Christian
99,Railwaycharm Street,Nicholas,James,17,Son,NA,Male,Student,None,NA
100,Railwaycharm Street,Amy,Saunders,65,Head,Widowed,Female,Unemployed,None,None
101,Railwaycharm Street,Hilary,Baker,37,Head,Married,Female,Unemployed,None,None
101,Railwaycharm Street,Robin,Baker,41,Husband,Married,Male,Magazine features editor,None,None
101,Railwaycharm Street,Louis,Baker,15,Son,NA,Male,Student,None,NA
101,Railwaycharm Street,Molly,Baker,11,Daughter,NA,Female,Student,None,NA
102,Railwaycharm Street,Laura,Berry,63,Head,Married,Female,General practice doctor,None,None
102,Railwaycharm Street,Russell,Berry,59,Husband,Married,Male,Make,None,None
102,Railwaycharm Street,Richard,Berry,19,Son,Single,Male,University Student,None,None
102,Railwaycharm Street,John,Berry,15,Son,NA,Male,Student,None,NA
102,Railwaycharm Street,Jacqueline,Berry,12,Daughter,NA,Female,Student,None,NA
103,Railwaycharm Street,Frederick,Whitehead,47,Head,Married,Male,"Investment banker, operational",None,Christian
103,Railwaycharm Street,Annette,Whitehead,45,Wife,Married,Female,"Designer, ceramics/pottery",None,Christian
103,Railwaycharm Street,Graham,Whitehead,23,Son,Divorced,Male,Exercise physiologist,None,Christian
103,Railwaycharm Street,Raymond,Whitehead,3,Son,NA,Male,Child,None,NA
104,Railwaycharm Street,Hannah,Day,57,Head,Single,Female,"Engineer, electronics",None,None
104,Railwaycharm Street,Peter,Smith,27,None,Single,Male,"Engineer, broadcasting (operations)",None,None
104,Railwaycharm Street,Marian,Kirk,21,None,Single,Female,University Student,None,Christian
104,Railwaycharm Street,Sylvia,Bailey,48,None,Single,Female,Editorial assistant,None,None
105,Railwaycharm Street,Donna,Harding,36,Head,Married,Female,Make,None,Christian
105,Railwaycharm Street,Daniel,Harding,37,Husband,Married,Male,Production engineer,None,None
105,Railwaycharm Street,Oliver,Harding,3,Son,NA,Male,Child,None,NA
105,Railwaycharm Street,Martin,Harding,1,Son,NA,Male,Child,None,NA
105,Railwaycharm Street,Declan,Collins,25,Lodger,Divorced,Male,Patent examiner,None,None
105,Railwaycharm Street,Ashley,Johnson,38,Lodger,Single,Male,Research scientist (life sciences),None,Christian
106,Railwaycharm Street,Sylvia,Wright,58,Head,Married,Female,Civil Service fast streamer,None,Christian
106,Railwaycharm Street,Terry,Wright,60,Husband,Married,Male,Banker,None,Christian
106,Railwaycharm Street,Janice,Wright,21,Daughter,Single,Female,University Student,None,Christian
106,Railwaycharm Street,Josh,Wright,17,Son,NA,Male,Student,None,NA
107,Railwaycharm Street,Rebecca,Sheppard,44,Head,Divorced,Female,"Therapist, speech and language",None,Catholic
107,Railwaycharm Street,Daniel,Sheppard,4,Son,NA,Male,Child,None,NA
107,Railwaycharm Street,Gareth,Sheppard,1,Son,NA,Male,Child,None,NA
107,Railwaycharm Street,Stephanie,Sheppard,0,Daughter,NA,Female,Child,None,NA
108,Railwaycharm Street,Hayley,Warner-Marshall,51,Head,Married,Female,Print production planner,None,Christian
108,Railwaycharm Street,Gareth,Warner-Marshall,57,Husband,Married,Male,Leisure centre manager,None,Christian
108,Railwaycharm Street,Josh,Hall,27,Son,Single,Male,Forensic psychologist,None,None
108,Railwaycharm Street,Susan,Allen,24,Daughter,Single,Female,"Radiographer, diagnostic",None,Christian
109,Railwaycharm Street,Kate,Walsh,42,Head,Married,Female,Site engineer,None,Methodist
109,Railwaycharm Street,Owen,Walsh,43,Husband,Married,Male,"Designer, multimedia",None,Methodist
109,Railwaycharm Street,Matthew,Walsh,10,Son,NA,Male,Student,None,NA
109,Railwaycharm Street,Alice,Walsh,9,Daughter,NA,Female,Student,None,NA
109,Railwaycharm Street,Shannon,Walsh,5,Daughter,NA,Female,Student,None,NA
109,Railwaycharm Street,Louise,Walsh,2,Daughter,NA,Female,Child,None,NA
110,Railwaycharm Street,Lynne,Winter,49,Head,Single,Female,Unemployed,None,Christian
110,Railwaycharm Street,Georgina,Winter,10,Daughter,NA,Female,Student,None,NA
110,Railwaycharm Street,Simon,Winter,6,Son,NA,Male,Student,None,NA
110,Railwaycharm Street,Brenda,Winter,5,Daughter,NA,Female,Student,None,NA
110,Railwaycharm Street,Lynda,Winter,4,Daughter,NA,Female,Child,None,NA
111,Railwaycharm Street,Charles,Forster,58,Head,Single,Male,Tax adviser,None,Christian
111,Railwaycharm Street,Fiona,Barnes,27,None,Single,Female,Child psychotherapist,None,None
111,Railwaycharm Street,Rhys,Bell,33,None,Single,Male,Unemployed,None,None
111,Railwaycharm Street,Dorothy,Jones,64,None,Single,Female,Publishing copy,None,Christian
112,Railwaycharm Street,Teresa,Thompson,44,Head,Single,Female,Freight forwarder,None,Catholic
112,Railwaycharm Street,Dennis,Thompson,3,Son,NA,Male,Child,None,NA
112,Railwaycharm Street,Douglas,Thompson,1,Son,NA,Male,Child,None,NA
112,Railwaycharm Street,Russell,Dobson,54,Lodger,Divorced,Male,Exercise physiologist,None,Christian
112,Railwaycharm Street,Abigail,Webb,20,Sibling,Divorced,Female,University Student,None,Methodist
112,Railwaycharm Street,Melanie,Burke,38,Lodger,Single,Female,Research scientist (medical),None,None
113,Railwaycharm Street,Emily,Kelly,30,Head,Married,Female,Learning disability nurse,None,None
113,Railwaycharm Street,Ben,Kelly,34,Husband,Married,Male,Museum/gallery curator,None,None
113,Railwaycharm Street,Reece,Kelly,2,Son,NA,Male,Child,None,NA
113,Railwaycharm Street,Howard,Shah,23,Lodger,Divorced,Male,Information systems manager,None,None
114,Railwaycharm Street,Abbie,Watkins,29,Head,Married,Female,Unemployed,None,Methodist
114,Railwaycharm Street,Cameron,Watkins,30,Husband,Married,Male,Sports administrator,None,Methodist
114,Railwaycharm Street,Marion,Watkins,8,Daughter,NA,Female,Student,None,NA
114,Railwaycharm Street,Valerie,Watkins,5,Daughter,NA,Female,Student,None,NA
115,Railwaycharm Street,Jasmine,Patel,51,Head,Married,Female,Dramatherapist,None,None
115,Railwaycharm Street,Max,Patel,56,Husband,Married,Male,Unemployed,None,None
115,Railwaycharm Street,Craig,Patel,25,Son,Divorced,Male,"Surveyor, commercial/residential",None,None
115,Railwaycharm Street,Richard,Patel,25,Son,Single,Male,"Civil engineer, consulting",None,None
115,Railwaycharm Street,Bernard,Patel,2,Son,NA,Male,Child,None,NA
116,Railwaycharm Street,Josephine,Welch,41,Head,Single,Female,Commercial art gallery manager,None,Christian
116,Railwaycharm Street,Eleanor,Welch,4,Daughter,NA,Female,Child,None,NA
116,Railwaycharm Street,Claire,Welch,2,Daughter,NA,Female,Child,None,NA
116,Railwaycharm Street,Malcolm,Smith,52,Sibling,Divorced,Male,Financial trader,None,Catholic
117,Railwaycharm Street,Olivia,Nicholls,47,Head,Single,Female,Web designer,None,Christian
117,Railwaycharm Street,Jamie,Franklin,52,Partner,Single,Male,Careers adviser,None,Christian
117,Railwaycharm Street,William,Nicholls,13,Son,NA,Male,Student,None,NA
117,Railwaycharm Street,Marcus,Nicholls,9,Son,NA,Male,Student,None,NA
118,Railwaycharm Street,Susan,Hancock,52,Head,Married,Female,"Editor, commissioning",None,None
118,Railwaycharm Street,Gary,Hancock,59,Husband,Married,Male,"Engineer, site",None,None
118,Railwaycharm Street,Frances,Hancock,17,Daughter,NA,Female,Student,None,NA
118,Railwaycharm Street,Christine,Hancock,11,Daughter,NA,Female,Student,None,NA
119,Railwaycharm Street,Sophie,Bell,71,Head,Married,Female,"Retired Designer, industrial/product",None,Catholic
119,Railwaycharm Street,Jonathan,Bell,72,Husband,Married,Male,Retired Retail manager,None,None
119,Railwaycharm Street,Justin,Bell,34,Son,Single,Male,Unemployed,None,None
119,Railwaycharm Street,Hollie,Bell,34,Adopted Daughter,Single,Female,"Engineer, communications",None,None
119,Railwaycharm Street,Toby,Bell,34,Son,Single,Male,Personnel officer,None,None
119,Railwaycharm Street,Douglas,Bell,30,Son,Single,Male,IT technical support officer,None,Catholic
120,Railwaycharm Street,Gerard,Ahmed,61,Head,Single,Male,Mudlogger,None,None
120,Railwaycharm Street,Sandra,Harrison,57,Partner,Single,Female,Camera operator,None,None
120,Railwaycharm Street,James,Ahmed,32,Son,Divorced,Male,"Designer, ceramics/pottery",None,None
120,Railwaycharm Street,Barry,Watkins,23,Son,Single,Male,Health visitor,None,None
120,Railwaycharm Street,Alexander,Watkins,21,Son,Single,Male,University Student,None,None
120,Railwaycharm Street,Hollie,Watkins,0,Daughter,NA,Female,Child,None,NA
121,Railwaycharm Street,Georgia,Watkins,74,Head,Widowed,Female,Retired Chief Strategy Officer,None,Christian
122,Railwaycharm Street,Jade,Hunter,44,Head,Single,Female,Restaurant manager,None,Methodist
122,Railwaycharm Street,Tom,Hunter,12,Nephew,NA,Male,Student,None,NA
122,Railwaycharm Street,Terence,Hunter,8,Nephew,NA,Male,Student,None,NA
122,Railwaycharm Street,Kirsty,Allen-Hunter,8,Neice,NA,Female,Student,None,NA
123,Railwaycharm Street,Katy,Morton,37,Head,Single,Female,Unemployed,None,None
123,Railwaycharm Street,Callum,Thomas,39,Partner,Single,Male,Theme park manager,None,None
123,Railwaycharm Street,Bethany,Morton,16,Daughter,NA,Female,Student,None,NA
124,Railwaycharm Street,Anna,Parsons,23,Head,Single,Female,Unemployed,None,Sikh
125,Railwaycharm Street,Yvonne,Doherty,46,Head,Married,Female,"Scientist, physiological",None,None
125,Railwaycharm Street,Allan,Doherty,41,Husband,Married,Male,Chartered loss adjuster,None,None
125,Railwaycharm Street,Jenna,Doherty,9,Daughter,NA,Female,Student,None,NA
125,Railwaycharm Street,Graham,Doherty,6,Son,NA,Male,Student,None,NA
126,Railwaycharm Street,Hazel,Jones,60,Head,Single,Female,Theatre stage manager,None,Methodist
126,Railwaycharm Street,David,Lewis,60,Partner,Single,Male,Barrister,None,Christian
126,Railwaycharm Street,Raymond,Jones,26,Son,Divorced,Male,Mechanical engineer,None,None
126,Railwaycharm Street,William,Jones,23,Son,Single,Male,Freight forwarder,None,Methodist
126,Railwaycharm Street,Leanne,Jones,12,Daughter,NA,Female,Student,None,NA
127,Railwaycharm Street,Maria,Hall,44,Head,Married,Female,"Teacher, special educational needs",None,None
127,Railwaycharm Street,Rhys,Hall,49,Husband,Married,Male,Communications engineer,None,None
127,Railwaycharm Street,Aimee,Hall,13,Daughter,NA,Female,Student,None,NA
127,Railwaycharm Street,Carol,Hall,13,Daughter,NA,Female,Student,None,NA
128,Railwaycharm Street,Bradley,Wells,25,Head,Married,Male,"Solicitor, Scotland",None,None
128,Railwaycharm Street,Aimee,Wells,23,Wife,Married,Female,Clinical psychologist,None,None
129,Railwaycharm Street,Emily,Clark-Stephens,62,Head,Married,Female,Systems analyst,None,Christian
129,Railwaycharm Street,Toby,Clark-Stephens,64,Husband,Married,Male,Professor Emeritus,None,None
129,Railwaycharm Street,Colin,Clark-Stephens,15,Son,NA,Male,Student,None,NA
129,Railwaycharm Street,Tracey,Clark-Stephens,15,Daughter,NA,Female,Student,None,NA
130,Railwaycharm Street,Kim,Freeman,52,Head,Married,Female,"Scientist, research (life sciences)",None,Christian
130,Railwaycharm Street,Jay,Freeman,54,Husband,Married,Male,Pensions consultant,None,Christian
130,Railwaycharm Street,Hollie,Freeman,24,Daughter,Single,Female,Facilities manager,None,Christian
130,Railwaycharm Street,Christine,Freeman,20,Daughter,Single,Female,University Student,None,Christian
130,Railwaycharm Street,Craig,Freeman,16,Son,NA,Male,Student,None,NA
130,Railwaycharm Street,Katy,Freeman,12,Daughter,NA,Female,Student,None,NA
131,Railwaycharm Street,Zoe,Webster,46,Head,Married,Female,Animal nutritionist,None,Catholic
131,Railwaycharm Street,Charles,Webster,48,Husband,Married,Male,Television floor manager,None,Catholic
131,Railwaycharm Street,Liam,Webster,23,Son,Single,Male,Economist,None,None
131,Railwaycharm Street,Douglas,Webster,21,Son,Single,Male,University Student,None,Catholic
131,Railwaycharm Street,Peter,Webster,21,Son,Single,Male,University Student,None,None
131,Railwaycharm Street,Jack,Webster,14,Son,NA,Male,Student,None,NA
132,Railwaycharm Street,Deborah,Forster,39,Head,Married,Female,"Psychotherapist, dance movement",None,Christian
132,Railwaycharm Street,Tom,Forster,41,Husband,Married,Male,Unemployed,None,None
132,Railwaycharm Street,Emma,Forster,1,Daughter,NA,Female,Child,None,NA
132,Railwaycharm Street,Jeffrey,Myers,30,Lodger,Single,Male,Community development worker,None,None
133,Railwaycharm Street,Melanie,Parker,58,Head,Married,Female,"Teacher, primary school",None,Christian
133,Railwaycharm Street,Brandon,Parker,59,Husband,Married,Male,Sales executive,None,None
133,Railwaycharm Street,Chloe,Parker,16,Daughter,NA,Female,Student,None,NA
133,Railwaycharm Street,Kerry,Turner,16,Daughter,NA,Female,Student,None,NA
133,Railwaycharm Street,Kathleen,Turner,16,Daughter,NA,Female,Student,None,NA
134,Railwaycharm Street,Guy,Turner,42,Head,Married,Male,"Buyer, industrial",None,Catholic
134,Railwaycharm Street,Jill,Turner,37,Wife,Married,Female,Art therapist,None,Catholic
134,Railwaycharm Street,Geoffrey,Jackson,63,Lodger,Single,Male,Set designer,None,None
135,Railwaycharm Street,Eric,Atkinson,62,Head,Married,Male,Customer service manager,None,Catholic
135,Railwaycharm Street,Geraldine,Atkinson,60,Wife,Married,Female,Musician,None,Catholic
135,Railwaycharm Street,Bruce,Atkinson,19,Son,Single,Male,University Student,None,Catholic
135,Railwaycharm Street,Garry,Matthews-Atkinson,17,Son,NA,Male,Student,None,NA
135,Railwaycharm Street,Elaine,Matthews-Atkinson,16,Daughter,NA,Female,Student,None,NA
136,Railwaycharm Street,Grace,Burke,42,Head,Single,Female,"Teacher, early years/pre",None,Catholic
136,Railwaycharm Street,Trevor,Burke,16,Son,NA,Male,Student,None,NA
136,Railwaycharm Street,Vincent,Burke,12,Son,NA,Male,Student,None,NA
136,Railwaycharm Street,Stephen,Burke,8,Son,NA,Male,Student,None,NA
137,Railwaycharm Street,Danielle,Harvey,25,Head,Divorced,Female,Water engineer,None,None
137,Railwaycharm Street,Patrick,Harvey,6,Son,NA,Male,Student,None,NA
137,Railwaycharm Street,Nicola,Harvey,2,Daughter,NA,Female,Child,None,NA
137,Railwaycharm Street,Roger,Marshall,2,Son,NA,Male,Child,None,NA
138,Railwaycharm Street,Carol,Brown,47,Head,Single,Female,Technical author,None,None
138,Railwaycharm Street,Glen,Williamson,46,Partner,Single,Male,Fine artist,None,None
138,Railwaycharm Street,Timothy,Brown,14,Son,NA,Male,Student,None,NA
138,Railwaycharm Street,Toby,Brown,11,Son,NA,Male,Student,None,NA
138,Railwaycharm Street,Jade,Brown,9,Daughter,NA,Female,Student,None,NA
139,Railwaycharm Street,Caroline,Kirk,40,Head,Married,Female,Publishing copy,None,Methodist
139,Railwaycharm Street,Stewart,Kirk,45,Husband,Married,Male,"Surveyor, quantity",None,None
139,Railwaycharm Street,Victoria,Collins-Kirk,18,Daughter,Single,Female,Student,None,None
139,Railwaycharm Street,Lucy,Collins-Kirk,15,Daughter,NA,Female,Student,None,NA
139,Railwaycharm Street,Jacob,Collins-Kirk,12,Son,NA,Male,Student,None,NA
139,Railwaycharm Street,Irene,Collins-Kirk,12,Daughter,NA,Female,Student,None,NA
140,Railwaycharm Street,Sarah,Atkins,45,Head,Single,Female,Unemployed,None,None
140,Railwaycharm Street,Russell,Atkins,16,Son,NA,Male,Student,None,NA
140,Railwaycharm Street,Jenna,Atkins,15,Daughter,NA,Female,Student,None,NA
140,Railwaycharm Street,Brett,Atkins,13,Son,NA,Male,Student,None,NA
141,Railwaycharm Street,Beverley,Owen,49,Head,Married,Female,Curator,None,Catholic
141,Railwaycharm Street,Ian,Owen,51,Husband,Married,Male,Medical technical officer,None,None
141,Railwaycharm Street,Sharon,Nelson,29,Daughter,Single,Female,Electrical engineer,None,Catholic
141,Railwaycharm Street,Rachael,Nelson,7,Daughter,NA,Female,Student,None,NA
142,Railwaycharm Street,Douglas,Morris,55,Head,Married,Male,"Lighting technician, broadcasting/film/video",None,Christian
142,Railwaycharm Street,Amelia,Morris,52,Wife,Married,Female,Camera operator,None,None
142,Railwaycharm Street,Donna,Collins,8,Granddaughter,NA,Female,Student,None,NA
143,Railwaycharm Street,Linda,Mills,49,Head,Married,Female,Analytical chemist,None,Christian
143,Railwaycharm Street,Trevor,Mills,53,Husband,Married,Male,Research scientist (life sciences),None,None
143,Railwaycharm Street,Josh,Mills,17,Son,NA,Male,Student,None,NA
144,Railwaycharm Street,Lindsey,Perry,62,Head,Married,Female,"Loss adjuster, chartered",None,Christian
144,Railwaycharm Street,Oliver,Perry,61,Husband,Married,Male,Television floor manager,None,None
144,Railwaycharm Street,Jacqueline,Perry,14,Daughter,NA,Female,Student,None,NA
145,Railwaycharm Street,Kathleen,Kelly,76,Head,Widowed,Female,Retired Restaurant manager,None,Christian
146,Railwaycharm Street,Lisa,Ross,47,Head,Single,Female,"Conservator, museum/gallery",None,None
146,Railwaycharm Street,George,Ross,14,Son,NA,Male,Student,None,NA
146,Railwaycharm Street,Nicola,Ross,10,Daughter,NA,Female,Student,None,NA
146,Railwaycharm Street,Howard,Ross,9,Son,NA,Male,Student,None,NA
146,Railwaycharm Street,Elaine,Ross,9,Daughter,NA,Female,Student,None,NA
146,Railwaycharm Street,Stephanie,Ross,6,Daughter,NA,Female,Student,None,NA
147,Railwaycharm Street,Melanie,Rowe,43,Head,Married,Female,Higher education lecturer,None,Christian
147,Railwaycharm Street,Mohammad,Rowe,45,Husband,Married,Male,Unemployed,None,Christian
147,Railwaycharm Street,Callum,Rowe,21,Son,Divorced,Male,University Student,Unknown Infection,Christian
147,Railwaycharm Street,Marcus,Rowe,17,Son,NA,Male,Student,None,NA
148,Railwaycharm Street,Abbie,Ashton,46,Head,Single,Female,Air cabin crew,None,Catholic
148,Railwaycharm Street,Bernard,Godfrey,51,Partner,Single,Male,Toxicologist,None,Catholic
148,Railwaycharm Street,Aimee,Ashton,22,Daughter,Divorced,Female,University Student,None,Catholic
148,Railwaycharm Street,Harriet,Ashton,21,Daughter,Single,Female,University Student,None,Catholic
148,Railwaycharm Street,Luke,Ashton,14,Son,NA,Male,Student,None,NA
148,Railwaycharm Street,Jamie,Ashton,10,Son,NA,Male,Student,None,NA
149,Railwaycharm Street,Ann,Martin,62,Head,Single,Female,Paramedic,None,None
149,Railwaycharm Street,Vanessa,Davies,60,None,Single,Female,Unemployed,None,Christian
149,Railwaycharm Street,Dylan,Evans,27,None,Single,Male,Therapeutic radiographer,None,Methodist
149,Railwaycharm Street,Maureen,Read,32,None,Single,Female,Structural engineer,None,Catholic
149,Railwaycharm Street,Caroline,Lewis,36,None,Single,Female,Ranger/warden,None,None
150,Railwaycharm Street,Jade,Begum,40,Head,Married,Female,Transport planner,None,Methodist
150,Railwaycharm Street,Roger,Begum,47,Husband,Married,Male,Tax inspector,None,Methodist
150,Railwaycharm Street,Stephanie,Begum,5,Daughter,NA,Female,Student,None,NA
150,Railwaycharm Street,Lawrence,Begum,5,Son,NA,Male,Student,None,NA
151,Railwaycharm Street,Hayley,Lawrence,29,Head,Divorced,Female,Retail manager,None,None
151,Railwaycharm Street,Edward,Lawrence,9,Son,NA,Male,Student,None,NA
151,Railwaycharm Street,Keith,Lawrence,6,Son,NA,Male,Student,None,NA
151,Railwaycharm Street,Donna,Lawrence,4,Daughter,NA,Female,Child,None,NA
152,Railwaycharm Street,Jasmine,Osborne,41,Head,Divorced,Female,Chiropodist,None,Methodist
152,Railwaycharm Street,Connor,Osborne,3,Son,NA,Male,Child,None,NA
152,Railwaycharm Street,Dylan,Osborne,0,Son,NA,Male,Child,None,NA
152,Railwaycharm Street,Alexander,Fleming,20,Sibling,Single,Male,Unemployed,None,Methodist
153,Railwaycharm Street,Carol,Bennett,46,Head,Married,Female,"Librarian, academic",None,Methodist
153,Railwaycharm Street,Russell,Bennett,48,Husband,Married,Male,Fitness centre manager,None,Methodist
153,Railwaycharm Street,Phillip,Bennett,17,Son,NA,Male,Student,None,NA
154,Railwaycharm Street,Sally,Cunningham,45,Head,Married,Female,Mechanical engineer,None,Methodist
154,Railwaycharm Street,Abdul,Cunningham,45,Husband,Married,Male,"Buyer, industrial",None,Methodist
154,Railwaycharm Street,Bryan,Holden-Cunningham,23,Son,Divorced,Male,Chartered accountant,None,Methodist
154,Railwaycharm Street,Megan,Holden-Cunningham,3,Daughter,NA,Female,Child,None,NA
155,Railwaycharm Street,Sheila,Robertson,35,Head,Single,Female,Unemployed,None,Catholic
155,Railwaycharm Street,Donald,Robertson,1,Son,NA,Male,Child,None,NA
155,Railwaycharm Street,Craig,Collins,24,Visitor,Single,Male,Advertising account planner,None,None
155,Railwaycharm Street,Robert,Barber,41,Lodger,Single,Male,Community development worker,None,None
155,Railwaycharm Street,Joanne,Green,56,Lodger,Single,Female,Web designer,None,None
156,Railwaycharm Street,Leon,Richards,27,Head,Single,Male,PhD Student,None,Catholic
156,Railwaycharm Street,Owen,Day,19,None,Single,Male,University Student,None,Buddist
156,Railwaycharm Street,Rachael,Ferguson,22,None,Single,Female,University Student,None,Christian
157,Railwaycharm Street,Natasha,Tyler,80,Head,Single,Female,"Retired Lighting technician, broadcasting/film/video",None,Methodist
157,Railwaycharm Street,Brandon,Tyler,39,Son,Single,Male,Site engineer,None,None
157,Railwaycharm Street,Frederick,Tyler,37,Son,Single,Male,"Clinical scientist, histocompatibility and immunogenetics",None,None
158,Railwaycharm Street,Abigail,Chan,80,Head,Widowed,Female,Retired Product/process development scientist,None,Christian
158,Railwaycharm Street,Ross,Chan,44,Son,Single,Male,Social researcher,None,Christian
158,Railwaycharm Street,Kelly,Chan,40,Daughter,Single,Female,Tourist information centre manager,None,None
1,Scepter Lane,Zoe,Saunders,44,Head,Married,Female,Fine artist,None,Catholic
1,Scepter Lane,Hugh,Saunders,46,Husband,Married,Male,Aeronautical engineer,Blind,Catholic
1,Scepter Lane,Norman,Saunders,17,Son,NA,Male,Student,Physical Disability,NA
2,Scepter Lane,Emma,Hunt,78,Head,Widowed,Female,Retired Ergonomist,None,Methodist
3,Scepter Lane,Olivia,Price,46,Head,Widowed,Female,Data processing manager,None,Methodist
3,Scepter Lane,Claire,Price,11,Daughter,NA,Female,Student,None,NA
3,Scepter Lane,Ryan,Price,10,Son,NA,Male,Student,None,NA
4,Scepter Lane,Joyce,Robinson,28,Head,Single,Female,Pharmacologist,None,None
5,Scepter Lane,Susan,Chambers,71,Head,Widowed,Female,Retired IT sales professional,None,None
6,Scepter Lane,Olivia,Hartley,86,Head,Widowed,Female,Retired Music therapist,None,Christian
1,White Cliffs,Julie,Bray,37,Head,Married,Female,Tour manager,None,None
1,White Cliffs,Gregory,Bray,42,Husband,Married,Male,"Nurse, learning disability",None,None
1,White Cliffs,Hayley,Bray,16,Daughter,NA,Female,Student,None,NA
1,White Cliffs,Ronald,Bray,6,Son,NA,Male,Student,None,NA
1,White Cliffs,Joanne,Spencer-Bray,2,Daughter,NA,Female,Child,None,NA
2,White Cliffs,Jordan,Evans,69,Head,Divorced,Male,Retired Logistics and distribution manager,None,None
3,White Cliffs,Anthony,Lewis,49,Head,Married,Male,Race relations officer,None,None
3,White Cliffs,Bethan,Lewis,45,Wife,Married,Female,Unemployed,None,None
3,White Cliffs,Zoe,Lewis,11,Daughter,NA,Female,Student,None,NA
4,White Cliffs,Shirley,Wilkinson,35,Head,Widowed,Female,Toxicologist,None,Christian
4,White Cliffs,Tracy,Wilkinson,8,Daughter,NA,Female,Student,None,NA
4,White Cliffs,Charles,Wilkinson,4,Son,NA,Male,Child,None,NA
5,White Cliffs,Tracy,Fisher,75,Head,Married,Female,"Retired Engineer, land",None,Christian
5,White Cliffs,Gregory,Fisher,77,Husband,Married,Male,"Retired Engineer, electronics",None,Christian
5,White Cliffs,Karen,Humphries-Fisher,16,Granddaughter,NA,Female,Student,None,NA
6,White Cliffs,Yvonne,Anderson,56,Head,Divorced,Female,Unemployed,None,Catholic
6,White Cliffs,Ellie,Anderson,17,Daughter,NA,Female,Student,None,NA
6,White Cliffs,Leonard,Anderson,16,Son,NA,Male,Student,None,NA
7,White Cliffs,Jane,Harris,36,Head,Married,Female,Academic librarian,None,None
7,White Cliffs,Ashley,Harris,38,Husband,Married,Male,Actuary,None,None
7,White Cliffs,Ronald,Harris,5,Son,NA,Male,Student,None,NA
8,White Cliffs,Sian,Forster,47,Head,Married,Female,Community arts worker,None,None
8,White Cliffs,Iain,Forster,52,Husband,Married,Male,Chartered legal executive (England and Wales),None,None
8,White Cliffs,Helen,Forster,23,Daughter,Single,Female,Fisheries officer,None,None
9,White Cliffs,Bethan,Brooks,51,Head,Single,Female,Unemployed,None,Muslim
9,White Cliffs,Rachael,Brooks,13,Daughter,NA,Female,Student,None,NA
10,White Cliffs,Mary,Richardson,51,Head,Single,Female,Broadcast journalist,None,None
10,White Cliffs,Terry,Edwards,53,Partner,Single,Male,Ceramics designer,None,None
10,White Cliffs,Jordan,Richardson,14,Son,NA,Male,Student,None,NA
10,White Cliffs,Rita,Richardson,13,Daughter,NA,Female,Student,None,NA
11,White Cliffs,Glenn,Bennett,56,Head,Single,Male,Geochemist,None,Methodist
11,White Cliffs,Denise,Clarke,48,None,Single,Female,Phytotherapist,None,None
12,White Cliffs,Maria,Davis,29,Head,Married,Female,Photographer,None,Catholic
12,White Cliffs,Jeffrey,Davis,31,Husband,Married,Male,"Administrator, education",None,None
12,White Cliffs,Rita,Davis,0,Daughter,NA,Female,Child,None,NA
13,White Cliffs,Antony,Williams,38,Head,Married,Male,"Sales professional, IT",None,Catholic
13,White Cliffs,Debra,Williams,37,Wife,Married,Female,"Lighting technician, broadcasting/film/video",None,Catholic
13,White Cliffs,Katy,Williams,10,Daughter,NA,Female,Student,None,NA
13,White Cliffs,Emma,Williams,8,Daughter,NA,Female,Student,None,NA
14,White Cliffs,Natalie,James,35,Head,Married,Female,Ergonomist,None,Catholic
14,White Cliffs,Christopher,James,37,Husband,Married,Male,Magazine features editor,None,None
14,White Cliffs,Daniel,James,10,Son,NA,Male,Student,None,NA
14,White Cliffs,Michelle,James,8,Daughter,NA,Female,Student,None,NA
15,White Cliffs,Charlotte,Mason,28,Head,Married,Female,Air traffic controller,None,Christian
15,White Cliffs,Ricky,Mason,34,Husband,Married,Male,Chartered accountant,None,Christian
15,White Cliffs,Annette,Hayes,55,Visitor,Single,Female,Health physicist,None,Catholic
16,White Cliffs,Ross,Walters,29,Head,Widowed,Male,Unemployed,None,None
